discovered_ts_ms,condition_id,market_slug,coin,timeframe,question,token_id_up,token_id_down,end_date,end_ts_ms
1773171905350,0x6d77bd5811f1e5deac5884c998ab67aca9f5dd883553a03e146c6edbe027972a,sol-updown-15m-1773187200,SOL,15m,"Solana Up or Down - March 10, 8:00PM-8:15PM ET",61188035516771375175002849453694678994990757360062383534499558829928848830930,37465073065438460645342909962764580851762086840268043276509276936678293823747,2026-03-11T00:15:00Z,1773188100000
1773171905350,0x4675fd86b733354164c7832471d20aa58a92a27be224b5380d6966409aa5bdd2,sol-updown-5m-1773187500,SOL,5m,"Solana Up or Down - March 10, 8:05PM-8:10PM ET",87672670640293344423637470505428751087971060130528123381030088197126777488378,97169924013600431865829839304450688834335785043812541639617132693642420820200,2026-03-11T00:10:00Z,1773187800000
1773171905350,0x8da59ed182ad663300ad85a961293e5a9af5983cf0cd42dd292af0140dcd1bbe,sol-updown-5m-1773187800,SOL,5m,"Solana Up or Down - March 10, 8:10PM-8:15PM ET",44315603577705934322038220172764076406418385521870586353652676153209832614805,108327194402538149670514589888343626984518852781441540736443310493915543272564,2026-03-11T00:15:00Z,1773188100000
1773171905350,0x0d48494108ae033f7f6afb02fbb5a5b83937af64ffd1065c0bab306c66bb1e31,sol-updown-5m-1773188100,SOL,5m,"Solana Up or Down - March 10, 8:15PM-8:20PM ET",9646709789034986366540478918387644060973103405492785486116384422466219039052,25140560842090626272718711554079312055691298130616663490278591564610561715024,2026-03-11T00:20:00Z,1773188400000
1773171905350,0x34e90ec3e040cf21f7f8e8dea02a4efd6ef14c0a49b48d118e26a55ef5a96e3a,sol-updown-15m-1773188100,SOL,15m,"Solana Up or Down - March 10, 8:15PM-8:30PM ET",31440072379402188546347021027697008109260507071187101272197189538428696700326,93989611856754762087098527093850309750162926734896143283030730923835817959263,2026-03-11T00:30:00Z,1773189000000
1773171905350,0x519d4622c93df2d015fd14fbb149571b8813770ac9098624dd172541df40b565,sol-updown-5m-1773188400,SOL,5m,"Solana Up or Down - March 10, 8:20PM-8:25PM ET",47556492154084871042249490007594507436073250710312810639313677048575337545629,63592775895888589963496419014950563426407371655266996833700505550381169997163,2026-03-11T00:25:00Z,1773188700000
1773171905350,0x0a2f805748156ad2bea4616ca33b51e98adc967e51aab74763e369d64aea977a,sol-updown-5m-1773188700,SOL,5m,"Solana Up or Down - March 10, 8:25PM-8:30PM ET",86515723842624942798799143922934638273691769990416249761765485744238476749771,57757652982613705393688034199784286806472450555104965980583184850416424080902,2026-03-11T00:30:00Z,1773189000000
1773171905350,0xe3dafadb88bce83927d35834a3cdb4f946c13ac308432d01c434f6b9aa1195cf,sol-updown-15m-1773189000,SOL,15m,"Solana Up or Down - March 10, 8:30PM-8:45PM ET",38472815052590649845072093578668536468363447037137240892331135402857978598437,76630906336417318520022880777575301016967863114158625102671907714395145224875,2026-03-11T00:45:00Z,1773189900000
1773171905350,0x7a6ce41cc9bea938f5d72adca475cd4b92cde3d516b03f0cd31b7a048872dfa9,sol-updown-5m-1773189000,SOL,5m,"Solana Up or Down - March 10, 8:30PM-8:35PM ET",10774122386651792349186606474398112406931731913236234012271461937384106926224,44237194995711494991867112288500705001532050159456417534477489937617302382842,2026-03-11T00:35:00Z,1773189300000
1773171905350,0x5dd0eb151a667cbda84568bd16996acb820c65e96d42ef94fd7e1ec10336681d,sol-updown-5m-1773189300,SOL,5m,"Solana Up or Down - March 10, 8:35PM-8:40PM ET",23060403899448868843456173291761541053241010795838248676207443494762705589687,11870591381006169705032374146411191389181858248444372860464963248029941405111,2026-03-11T00:40:00Z,1773189600000
